Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
ADVANCED FUNCTIONAL MATERIALS;1616301X;16163028;CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;413943;19.9;Q1;Q1
Journal of Bioresources and Bioproducts;20972415;23699698;MATERIALS SCIENCE, PAPER & WOOD;SCIE;2701;19.9;Q1;Q1
Mycosphere;20777000;20777019;MYCOLOGY;SCIE;3955;19.9;Q1;Q1
PSYCHOLOGICAL BULLETIN;00332909;19391455;PSYCHOLOGY | PSYCHOLOGY, MULTIDISCIPLINARY;SCIE | SSCI;67853;19.9;Q1;Q1
Applied Catalysis B-Environment and Energy;09263373;18733883;CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL | ENGINEERING, ENVIRONMENTAL;SCIE;183973;19.7;Q1;Q1
InfoMat;N/A;25673165;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;9591;19.6;Q1;Q1
Molecular Neurodegeneration;N/A;17501326;NEUROSCIENCES;SCIE;14388;19.6;Q1;Q1
Advanced Photonics;N/A;25775421;OPTICS;SCIE;4650;19.5;Q1;Q1
Energy Storage Materials;24058297;24058289;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;75374;19.3;Q1;Q1
Journal of Nanostructure in Chemistry;20089244;21938865;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;2841;19.2;Q1;Q1
SusMat;27668479;26924552;CHEMISTRY, MULTIDISCIPLINARY | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;4183;19.2;Q1;Q1
Applied Mechanics Reviews;00036900;23790407;MECHANICS;SCIE;6132;19.1;Q1;Q1
Chem;24519294;24519294;CHEMISTRY, MULTIDISCIPLINARY;SCIE;31913;19.1;Q1;Q1
Translational Neurodegeneration;20479158;20479158;NEUROSCIENCES;SCIE;6340;19.1;Q1;Q1
Annual Review of Pharmacology and Toxicology;03621642;15454304;PHARMACOLOGY & PHARMACY | TOXICOLOGY;SCIE;9259;19;Q1;Q1
JACC-Cardiovascular Imaging;1936878X;18767591;CARDIAC & CARDIOVASCULAR SYSTEMS | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;19131;19;Q1;Q1
Annual Review of Medicine;00664219;1545326X;MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;8605;18.8;Q1;Q1
ARTIFICIAL INTELLIGENCE REVIEW;02692821;15737462;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;SCIE;31582;18.8;Q1;Q1
eTransportation;25901168;25901168;ENERGY & FUELS | ENGINEERING, ELECTRICAL & ELECTRONIC | TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE;6574;18.7;Q1;Q1
Nature Microbiology;20585276;20585276;MICROBIOLOGY;SCIE;32131;18.7;Q1;Q1
TRENDS IN MICROBIOLOGY;0966842X;18784380;BIOCHEMISTRY & MOLECULAR BIOLOGY | MICROBIOLOGY;SCIE;21555;18.7;Q1;Q1
Annual Review of Clinical Psychology;15485943;15485951;PSYCHOLOGY | PSYCHOLOGY, CLINICAL;SCIE | SSCI;12319;18.6;Q1;Q1
Autophagy;15548627;15548635;CELL BIOLOGY;SCIE;34458;18.6;Q1;Q1
Advanced Industrial and Engineering Polymer Research;25425048;25425048;MATERIALS SCIENCE, COMPOSITES | MATERIALS SCIENCE, MULTIDISCIPLINARY | POLYMER SCIENCE;ESCI;2943;18.4;Q1;Q1
Nature Protocols;17542189;17502799;BIOCHEMICAL RESEARCH METHODS;SCIE;62362;18.4;Q1;Q1
Advances in Applied Energy;26667924;26667924;ENERGY & FUELS;ESCI;3264;18.3;Q1;Q1
IEEE-CAA Journal of Automatica Sinica;23299266;23299274;AUTOMATION & CONTROL SYSTEMS;SCIE;14101;18.3;Q1;Q1
STUDIES IN MYCOLOGY;01660616;18729797;MYCOLOGY;SCIE;5882;18.3;Q1;Q1
Protein & Cell;1674800X;16748018;CELL BIOLOGY;SCIE;9917;18.2;Q1;Q1
National Science Review;20955138;2053714X;MULTIDISCIPLINARY SCIENCES;SCIE;25850;18.1;Q1;Q1
Nature Communications;N/A;20411723;MULTIDISCIPLINARY SCIENCES;SCIE;1166083;18.1;Q1;Q1
PROGRESS IN LIPID RESEARCH;01637827;18732194;BIOCHEMISTRY & MOLECULAR BIOLOGY | NUTRITION & DIETETICS;SCIE;8950;18.1;Q1;Q1
TRENDS IN MOLECULAR MEDICINE;14714914;1471499X;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;15407;18.1;Q1;Q1
Academy of Management Annals;19416520;19416067;BUSINESS | MANAGEMENT;SSCI;12173;18;Q1;Q1
ACCOUNTS OF CHEMICAL RESEARCH;00014842;15204898;CHEMISTRY, MULTIDISCIPLINARY;SCIE;92046;18;Q1;Q1
CIRCULATION RESEARCH;00097330;15244571;CARDIAC & CARDIOVASCULAR SYSTEMS | HEMATOLOGY | PERIPHERAL VASCULAR DISEASE;SCIE;68904;18;Q1;Q1
HEPATOLOGY;02709139;15273350;GASTROENTEROLOGY & HEPATOLOGY;SCIE;74432;18;Q1;Q1
JAMA Psychiatry;2168622X;21686238;PSYCHIATRY;SCIE, SSCI;28366;18;Q1;Q1
Nature Physics;17452473;17452481;PHYSICS, MULTIDISCIPLINARY;SCIE;61359;18;Q1;Q1
npj Digital Medicine;23986352;23986352;HEALTH CARE SCIENCES & SERVICES | MEDICAL INFORMATICS;SCIE;25262;18;Q1;Q1
PhotoniX;N/A;26621991;OPTICS;SCIE;2839;18;Q1;Q1
RENEWABLE & SUSTAINABLE ENERGY REVIEWS;13640321;18790690;ENERGY & FUELS | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE;208082;18;Q1;Q1
Smart Learning Environments;N/A;21967091;EDUCATION & EDUCATIONAL RESEARCH;SSCI;3933;17.9;Q1;Q1
TRENDS IN ECOLOGY & EVOLUTION;01695347;18728383;ECOLOGY | EVOLUTIONARY BIOLOGY | GENETICS & HEREDITY;SCIE;43414;17.9;Q1;Q1
PERIODONTOLOGY 2000;09066713;16000757;DENTISTRY, ORAL SURGERY & MEDICINE;SCIE;13597;17.8;Q1;Q1
AMERICAN JOURNAL OF BIOETHICS;15265161;15360075;ETHICS | MEDICAL ETHICS | SOCIAL ISSUES | SOCIAL SCIENCES, BIOMEDICAL;SCIE | SSCI;4445;17.6;Q1;Q1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION;14337851;15213773;CHEMISTRY, MULTIDISCIPLINARY;SCIE;584988;17.6;Q1;Q1
International Journal of Oral Science;16742818;20493169;DENTISTRY, ORAL SURGERY & MEDICINE;SCIE;6433;17.6;Q1;Q1
Psychological Science in the Public Interest;15291006;21600031;PSYCHOLOGY, MULTIDISCIPLINARY;SSCI;3613;17.6;Q1;Q1
RADIOLOGY;00338419;15271315;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;61752;17.6;Q1;Q1
ACS Energy Letters;23808195;23808195;CHEMISTRY, PHYSICAL | ELECTROCHEMISTRY | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;73417;17.5;Q1;Q1
Computer Science Review;15740137;18767745;COMPUTER SCIENCE, INFORMATION SYSTEMS | COMPUTER SCIENCE, SOFTWARE ENGINEERING | COMPUTER SCIENCE, THEORY & METHODS;SCIE;6498;17.5;Q1;Q1
EXPERIMENTAL AND MOLECULAR MEDICINE;12263613;20926413;BIOCHEMISTRY & MOLECULAR BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;25742;17.5;Q1;Q1
Experimental Hematology & Oncology;N/A;21623619;HEMATOLOGY | ONCOLOGY;SCIE;5424;17.5;Q1;Q1
Journal of the National Comprehensive Cancer Network;15401405;15401413;ONCOLOGY;SCIE;16909;17.5;Q1;Q1
Nature Human Behaviour;23973374;23973374;MULTIDISCIPLINARY SCIENCES | NEUROSCIENCES | PSYCHOLOGY, EXPERIMENTAL;SCIE | SSCI;21937;17.5;Q1;Q1
Energy Material Advances;20971133;26927640;PHYSICS, APPLIED;ESCI;2281;17.4;Q1;Q1
Information Fusion;15662535;18726305;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, THEORY & METHODS;SCIE;40171;17.4;Q1;Q1
TRENDS IN FOOD SCIENCE & TECHNOLOGY;09242244;18793053;FOOD SCIENCE & TECHNOLOGY;SCIE;66930;17.4;Q1;Q1
ACS Nano;19360851;1936086X;CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;291591;17.3;Q1;Q1
ANNALS OF INTERNAL MEDICINE;00034819;15393704;MEDICINE, GENERAL & INTERNAL;SCIE;69750;17.2;Q1;Q1
Annual Review of Public Health;01637525;15452093;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE, SSCI;13577;17.2;Q1;Q1
BMEMat;27517438;27517446;MATERIALS SCIENCE, BIOMATERIALS | NANOSCIENCE & NANOTECHNOLOGY;ESCI;1593;17.2;Q1;Q1
Chinese Journal of Catalysis;02539837;18722067;CHEMISTRY, APPLIED | CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL;SCIE;22931;17.2;Q1;Q1
JAMA Pediatrics;21686203;21686211;PEDIATRICS;SCIE;21513;17.1;Q1;Q1
Journal of Advanced Research;20901232;20901224;MULTIDISCIPLINARY SCIENCES;SCIE;21564;17.1;Q1;Q1
Nature Ecology & Evolution;2397334X;2397334X;ECOLOGY | EVOLUTIONARY BIOLOGY;SCIE;27566;17.1;Q1;Q1
Current Obesity Reports;21624968;21624968;ENDOCRINOLOGY & METABOLISM | NUTRITION & DIETETICS;SCIE;5700;17;Q1;Q1
INTERNATIONAL MATERIALS REVIEWS;09506608;17432804;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;9423;17;Q1;Q1
Annual Review of Entomology;00664170;15454487;ENTOMOLOGY;SCIE;16834;16.9;Q1;Q1
Cell Discovery;N/A;20565968;CELL BIOLOGY;SCIE;8357;16.9;Q1;Q1
FEMS MICROBIOLOGY REVIEWS;01686445;15746976;MICROBIOLOGY;SCIE;19031;16.9;Q1;Q1
Neuron;08966273;10974199;NEUROSCIENCES;SCIE;108660;16.9;Q1;Q1
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS;07338716;15580008;ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS;SCIE;32068;16.8;Q1;Q1
Journal of Materials Science & Technology;10050302;19411162;MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING;SCIE;77520;16.8;Q1;Q1
Physical Review X;21603308;21603308;PHYSICS, MULTIDISCIPLINARY;SCIE;40187;16.8;Q1;Q1
Smart Molecules;27514587;27514595;CHEMISTRY, MULTIDISCIPLINARY;ESCI;1350;16.8;Q1;Q1
Green Energy & Environment;20962797;24680257;CHEMISTRY, PHYSICAL | ENERGY & FUELS | ENGINEERING, CHEMICAL | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE;8773;16.7;Q1;Q1
METABOLISM-CLINICAL AND EXPERIMENTAL;00260495;15328600;ENDOCRINOLOGY & METABOLISM;SCIE;23897;16.7;Q1;Q1
Nano Energy;22112855;22113282;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED;SCIE;135022;16.7;Q1;Q1
Journal of the American Chemical Society;00027863;15205126;CHEMISTRY, MULTIDISCIPLINARY;SCIE;628967;16.6;Q1;Q1
TRENDS IN BIOTECHNOLOGY;01677799;18793096;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;SCIE;21544;16.6;Q1;Q1
Energy Reviews;N/A;27729702;ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1233;16.5;Q1;Q1
Biomedical Technology;N/A;2949723X;ENGINEERING, BIOMEDICAL | MATERIALS SCIENCE, BIOMATERIALS;ESCI;1023;16.4;Q1;Q1
Science Immunology;24709468;24709468;IMMUNOLOGY;SCIE;16066;16.4;Q1;Q1
Annual Review of Environment and Resources;15435938;15452050;ENVIRONMENTAL SCIENCES | ENVIRONMENTAL STUDIES;SCIE | SSCI;10013;16.3;Q1;Q1
Clinical Gastroenterology and Hepatology;15423565;15427714;GASTROENTEROLOGY & HEPATOLOGY;SCIE;34511;16.2;Q1;Q1
Materials Reports: Energy;N/A;26669358;CHEMISTRY, MULTIDISCIPLINARY | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1829;16.2;Q1;Q1
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT;01492195;1545861X;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE;27765;16.2;Q1;Q1
PROGRESS IN RETINAL AND EYE RESEARCH;13509462;18731635;OPHTHALMOLOGY;SCIE;14334;16.2;Q1;Q1
Redox Biology;22132317;22132317;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;46483;16.2;Q1;Q1
Artificial Intelligence in Agriculture;20972113;25897217;AGRICULTURE, MULTIDISCIPLINARY | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE;SCIE;2650;16.1;Q1;Q1
IEEE Reviews in Biomedical Engineering;19373333;19411189;ENGINEERING, BIOMEDICAL;SCIE;3840;16;Q1;Q1
Molecular Cell;10972765;10974164;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;SCIE;88599;16;Q1;Q1
AMERICAN JOURNAL OF PSYCHIATRY;0002953X;15357228;PSYCHIATRY;SCIE, SSCI;40251;15.9;Q1;Q1
Biogeotechnics;N/A;29499291;ENGINEERING, GEOLOGICAL;ESCI;1085;15.9;Q1;Q1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;1089778X;19410026;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, THEORY & METHODS;SCIE;29066;15.9;Q1;Q1
International Journal of Mining Science and Technology;20952686;22126066;MINING & MINERAL PROCESSING;SCIE;11481;15.9;Q1;Q1
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS;01466410;18732224;PHYSICS, NUCLEAR | PHYSICS, PARTICLES & FIELDS;SCIE;7033;15.9;Q1;Q1
Soft Science;N/A;27695441;MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1913;15.9;Q1;Q1
Journal of Magnesium and Alloys;22139567;22139567;MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING;SCIE;22066;15.8;Q1;Q1
Nature Chemical Biology;15524450;15524469;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;35656;15.8;Q1;Q1
Industrial Chemistry & Materials;27552608;27552500;ENGINEERING, CHEMICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1668;15.7;Q1;Q1
Lancet Regional Health-Europe;26667762;26667762;HEALTH CARE SCIENCES & SERVICES | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SCIE | SCIE, SSCI;9075;15.7;Q1;Q1
Matter;25902393;25902385;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;22891;15.7;Q1;Q1
TRENDS IN NEUROSCIENCES;01662236;1878108X;NEUROSCIENCES;SCIE;24033;15.7;Q1;Q1
Annual Review of Earth and Planetary Sciences;00846597;15454495;ASTRONOMY & ASTROPHYSICS | GEOSCIENCES, MULTIDISCIPLINARY;SCIE;12754;15.6;Q1;Q1
Cardiovascular Diabetology;N/A;14752840;CARDIAC & CARDIOVASCULAR SYSTEMS | ENDOCRINOLOGY & METABOLISM;SCIE;28480;15.6;Q1;Q1
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY;15414337;15414337;FOOD SCIENCE & TECHNOLOGY;SCIE;29313;15.6;Q1;Q1
JAMA Surgery;21686254;21686262;SURGERY;SCIE;21579;15.6;Q1;Q1
Journal of Energy Chemistry;20954956;20954956;CHEMISTRY, APPLIED | CHEMISTRY, PHYSICAL | ENERGY & FUELS | ENGINEERING, CHEMICAL;SCIE;54533;15.6;Q1;Q1
Science Translational Medicine;19466234;19466242;CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;58152;15.6;Q1;Q1
Advanced Composites and Hybrid Materials;25220128;25220136;MATERIALS SCIENCE, COMPOSITES | NANOSCIENCE & NANOTECHNOLOGY;SCIE;17028;15.5;Q1;Q1
AGEING RESEARCH REVIEWS;15681637;18729649;CELL BIOLOGY | GERIATRICS & GERONTOLOGY;SCIE;32111;15.5;Q1;Q1
BRITISH JOURNAL OF SPORTS MEDICINE;03063674;14730480;SPORT SCIENCES;SCIE;40333;15.5;Q1;Q1
JACC: CardioOncology;26660873;26660873;CARDIAC & CARDIOVASCULAR SYSTEMS | ONCOLOGY;SCIE;4039;15.5;Q1;Q1
One Earth;25903330;25903322;ENVIRONMENTAL SCIENCES | ENVIRONMENTAL STUDIES | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE | SSCI;11311;15.5;Q1;Q1
Annual Review of Food Science and Technology;19411413;19411421;FOOD SCIENCE & TECHNOLOGY;SCIE;4971;15.4;Q1;Q1
INTERNATIONAL JOURNAL OF PLASTICITY;07496419;18792154;ENGINEERING, MECHANICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | MECHANICS;SCIE;30089;15.4;Q1;Q1
npj Flexible Electronics;N/A;23974621;ENGINEERING, ELECTRICAL & ELECTRONIC | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;6383;15.4;Q1;Q1
REPORTS ON PROGRESS IN PHYSICS;00344885;13616633;PHYSICS, MULTIDISCIPLINARY;SCIE;25466;15.4;Q1;Q1
Gut Microbes;19490976;19490984;GASTROENTEROLOGY & HEPATOLOGY | MICROBIOLOGY;SCIE;29335;15.3;Q1;Q1
IEEE TRANSACTIONS ON IMAGE PROCESSING;10577149;19410042;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;95219;15.3;Q1;Q1
International Journal of Network Dynamics and Intelligence;N/A;26536226;COMPUTER SCIENCE, INFORMATION SYSTEMS;ESCI;927;15.3;Q1;Q1
Nature Cities;N/A;27319997;ENVIRONMENTAL SCIENCES | REGIONAL & URBAN PLANNING | URBAN STUDIES;ESCI;1605;15.3;Q1;Q1
Electron;27512606;27512614;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;801;15.2;Q1;Q1
JAMA Cardiology;23806583;23806591;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;16454;15.2;Q1;Q1
Nature Astronomy;23973366;23973366;ASTRONOMY & ASTROPHYSICS;SCIE;15181;15.2;Q1;Q1
NEW ASTRONOMY REVIEWS;13876473;18729630;ASTRONOMY & ASTROPHYSICS;SCIE;2056;15.2;Q1;Q1
Biochar;25247972;25247867;ENVIRONMENTAL SCIENCES | SOIL SCIENCE;SCIE;6967;15.1;Q1;Q1
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY;15691705;15729826;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | ENVIRONMENTAL SCIENCES;SCIE;6785;15.1;Q1;Q1
JOURNAL OF NANOBIOTECHNOLOGY;N/A;14773155;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;44212;15;Q1;Q1
Nature Plants;2055026X;20550278;PLANT SCIENCES;SCIE;23005;15;Q1;Q1
NUCLEIC ACIDS RESEARCH;03051048;13624962;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;318538;15;Q1;Q1
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery;19424787;19424795;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, THEORY & METHODS;SCIE;6540;15;Q1;Q1
JOURNAL OF MANUFACTURING SYSTEMS;02786125;18786642;ENGINEERING, INDUSTRIAL | ENGINEERING, MANUFACTURING | OPERATIONS RESEARCH & MANAGEMENT SCIENCE;SCIE;21033;14.9;Q1;Q1
Microbiome;20492618;20492618;MICROBIOLOGY;SCIE;35895;14.9;Q1;Q1
Theranostics;18387640;18387640;MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;56535;14.9;Q1;Q1
ACS Measurement Science Au;N/A;2694250X;CHEMISTRY, ANALYTICAL;ESCI;2359;14.7;Q1;Q1
DRUGS;00126667;11791950;PHARMACOLOGY & PHARMACY | TOXICOLOGY;SCIE;24630;14.7;Q1;Q1
Foundations and Trends in Computer Graphics and Vision;15722740;15722759;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;ESCI;569;14.7;Q1;Q1
Acta Pharmaceutica Sinica B;22113835;22113843;PHARMACOLOGY & PHARMACY;SCIE;28576;14.6;Q1;Q1
Advances in Methods and Practices in Psychological Science;25152459;25152467;PSYCHOLOGY | PSYCHOLOGY, MULTIDISCIPLINARY;SCIE | SSCI;4829;14.6;Q1;Q1
Annual Review of Control Robotics and Autonomous Systems;N/A;25735144;AUTOMATION & CONTROL SYSTEMS | ROBOTICS;SCIE;2806;14.6;Q1;Q1
Annual Review of Materials Research;15317331;15454118;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;9250;14.6;Q1;Q1
Biomarker Research;N/A;20507771;MEDICINE, RESEARCH & EXPERIMENTAL | ONCOLOGY;SCIE;7601;14.6;Q1;Q1
Genes & Diseases;23524820;23523042;BIOCHEMISTRY & MOLECULAR BIOLOGY | GENETICS & HEREDITY;SCIE;9105;14.6;Q1;Q1
Lancet HIV;23523018;23523018;IMMUNOLOGY | INFECTIOUS DISEASES;SCIE;7238;14.6;Q1;Q1
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW;10888683;15327957;PSYCHOLOGY, SOCIAL;SSCI;10354;14.6;Q1;Q1
PHYSIOLOGY;15489213;15489221;PHYSIOLOGY;SCIE;5666;14.6;Q1;Q1
Aggregate;N/A;26924560;CHEMISTRY, MULTIDISCIPLINARY | CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;8538;14.5;Q1;Q1
Interdisciplinary Medicine;28326237;28326245;MEDICINE, RESEARCH & EXPERIMENTAL;ESCI;1426;14.5;Q1;Q1
JOURNAL OF BIOMEDICAL SCIENCE;10217770;14230127;CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;12330;14.5;Q1;Q1
Tourism Management;02615177;18793193;ENVIRONMENTAL STUDIES | HOSPITALITY, LEISURE, SPORT & TOURISM | MANAGEMENT;SSCI;36442;14.5;Q1;Q1
ANNUAL REVIEWS IN CONTROL;13675788;18729088;AUTOMATION & CONTROL SYSTEMS;SCIE;6546;14.4;Q1;Q1
CEMENT & CONCRETE COMPOSITES;09589465;1873393X;CONSTRUCTION & BUILDING TECHNOLOGY | MATERIALS SCIENCE, COMPOSITES;SCIE;59220;14.4;Q1;Q1
TRENDS IN BIOCHEMICAL SCIENCES;09680004;13624326;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;20954;14.4;Q1;Q1
Environmental Science and Ecotechnology;26664984;26664984;ENVIRONMENTAL SCIENCES | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE;5057;14.3;Q1;Q1
JOURNAL OF CLINICAL INVESTIGATION;00219738;15588238;MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;120571;14.3;Q1;Q1
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH;N/A;17569966;ONCOLOGY;SCIE;33576;14.3;Q1;Q1
Journal of Statistical Software;15487660;15487660;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | STATISTICS & PROBABILITY;SCIE;54739;14.3;Q1;Q1
SmartMat;27668525;2688819X;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;3342;14.3;Q1;Q1
Acta Ecologica Sinica;18722032;18722032;ECOLOGY;ESCI;7028;14.2;Q1;Q1
Green Carbon;N/A;29501555;ENGINEERING, CHEMICAL | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;ESCI;967;14.2;Q1;Q1
Accounts of Materials Research;N/A;26436728;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;7625;14.1;Q1;Q1
Advanced Science;N/A;21983844;CHEMISTRY, MULTIDISCIPLINARY | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;169772;14.1;Q1;Q1
BIOTECHNOLOGY ADVANCES;07349750;18731899;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;SCIE;29250;14.1;Q1;Q1
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE;13590286;18790348;MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;6166;14.1;Q1;Q1
MedComm;N/A;26882663;MEDICINE, RESEARCH & EXPERIMENTAL;ESCI;10178;14.1;Q1;Q1
Cell Reports Medicine;26663791;26663791;CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;15797;14;Q1;Q1
CEMENT AND CONCRETE RESEARCH;00088846;18733948;CONSTRUCTION & BUILDING TECHNOLOGY | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;81272;14;Q1;Q1
COMPOSITES PART B-ENGINEERING;13598368;18791069;ENGINEERING, MULTIDISCIPLINARY | MATERIALS SCIENCE, COMPOSITES;SCIE;98308;14;Q1;Q1
Journal of Advanced Ceramics;22264108;22278508;MATERIALS SCIENCE, CERAMICS;SCIE;12270;14;Q1;Q1
Journal of Innovation & Knowledge;25307614;2444569X;BUSINESS | MANAGEMENT;SSCI;9106;14;Q1;Q1
MEDICAL IMAGE ANALYSIS;13618415;13618423;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | ENGINEERING, BIOMEDICAL | RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;32042;14;Q1;Q1
JMIR Medical Education;23693762;23693762;EDUCATION, SCIENTIFIC DISCIPLINES;SCIE;4697;13.9;Q1;Q1
Materials Genome Engineering Advances;29409489;29409497;MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;923;13.9;Q1;Q1
Science Advances;N/A;23752548;MULTIDISCIPLINARY SCIENCES;SCIE;226461;13.9;Q1;Q1
ACADEMY OF MANAGEMENT REVIEW;03637425;19303807;BUSINESS | MANAGEMENT;SSCI;45569;13.8;Q1;Q1
Annual Review of Neuroscience;0147006X;15454126;NEUROSCIENCES;SCIE;14783;13.8;Q1;Q1
Blood Cancer Journal;20445385;20445385;HEMATOLOGY | ONCOLOGY;SCIE;10205;13.8;Q1;Q1
